domain,agency
ca.gov,"State of California"
abortion.ca.gov,"State of California"
acupuncture.ca.gov,"California Acupuncture Board"
oal.ca.gov,"Office of Administrative Law"
ccoa.ca.gov,"California Commission on Aging"
aging.ca.gov,"Department of Aging"
alrb.ca.gov,"Agricultural Labor Relations Board"
ww2.arb.ca.gov,"Air Resources Board"
abcab.ca.gov,"Alcoholic Beverage Control Appeals Board"
abc.ca.gov,"Department of Alcoholic Beverage Control"
cab.ca.gov,"California Architects Board"
arts.ca.gov,"California Arts Council"
assembly.ca.gov,"California State Assembly"
bsa.ca.gov,"California State Auditor"
bar.ca.gov,"Bureau of Automotive Repair"
bhc.ca.gov,"Baldwin Hills Conservancy"
calbar.ca.gov,"State Bar of California"
barbercosmo.ca.gov,"Board of Barbering and Cosmetology"
bbs.ca.gov,"Board of Behavioral Sciences"
biodiversity.ca.gov,"California Biodiversity Council"
brea.ca.gov,"Bureau of Real Estate Appraisers"
business.ca.gov,"Governor's Office of Business and Economic Development"
bcsh.ca.gov,"California Business, Consumer Services, and Housing Agency"
cppa.ca.gov,"California Privacy Protection Agency"
ccap.ca.gov,"Cannabis Control Appeals Panel"
cannabis.ca.gov,"Department of Cannabis Control"
cfb.ca.gov,"Cemetery and Funeral Bureau"
cvfpb.ca.gov,"Central Valley Flood Protection Board"
childsupport.ca.gov,"Department of Child Support Services"
chiro.ca.gov,"Board of Chiropractic Examiners"
wedrawthelines.ca.gov,"Citizens Redistricting Commission"
calcivilrights.ca.gov,"Civil Rights Department"
cvmc.ca.gov,"Coachella Valley Mountains Conservancy"
coastal.ca.gov,"California Coastal Commission"
scc.ca.gov,"State Coastal Conservancy"
crb.ca.gov,"Colorado River Board of California"
cccco.edu,"California Community Colleges"
csd.ca.gov,"Department of Community Services and Development"
ccc.ca.gov,"California Conservation Corps"
conservation.ca.gov,"Department of Conservation"
dca.ca.gov,"Department of Consumer Affairs"
cslb.ca.gov,"Contractors State License Board"
sco.ca.gov,"State Controller's Office"
coolcalifornia.arb.ca.gov,"Cool California"
cdcr.ca.gov,"California Department of Corrections and Rehabilitation"
counties.org,"California State Association of Counties"
courtreportersboard.ca.gov,"Court Reporters Board of California "
courts.ca.gov,"California Courts"
innovation.ca.gov,"Office of Data and Innovation"
hub.innovation.ca.gov,"Office of Data and Innovation"
delta.ca.gov,"Delta Protection Commission"
deltacouncil.ca.gov,"Delta Stewardship Council"
dhbc.ca.gov,"Dental Hygiene Board of California"
scdd.ca.gov,"State Council on Developmental Disabilities"
dds.ca.gov,"Department of Developmental Services"
earthquakeauthority.com,"California Earthquake Authority"
cde.ca.gov,"California Department of Education"
emsa.ca.gov,"Emergency Medical Services Authority"
caloes.ca.gov,"Governor's Office of Emergency Services"
edd.ca.gov,"Employment Development Department"
etp.ca.gov,"Employment Training Panel"
energy.ca.gov,"California Energy Commission"
energysafety.ca.gov,"Office of Energy Infrastructure Safety"
bpelsg.ca.gov,"Board of Professional Engineers, Land Surveyors, and Geologists"
oehha.ca.gov,"Office of Environmental Health Hazard Assessment"
calepa.ca.gov,"Environmental Protection Agency"
boe.ca.gov,"Board of Equalization"
calexpostatefair.com,"California Exposition and State Fair"
fppc.ca.gov,"Fair Political Practices Commission"
fiscal.ca.gov,"Department of FI$Cal"
film.ca.gov,"California Film Commission"
dof.ca.gov,"Department of Finance"
dfpi.ca.gov,"Department of Financial Protection and Innovation"
cfcc.ca.gov,"California Financing Coordinating Committee"
ccfc.ca.gov,"First 5 California"
fgc.ca.gov,"Fish and Game Commission"
wildlife.ca.gov,"Department of Fish and Wildlife"
cdfa.ca.gov,"Department of Food and Agriculture"
bof.fire.ca.gov,"Board of Forestry and Fire Protection"
fire.ca.gov,"California Department of Forestry and Fire Protection"
ftb.ca.gov,"Franchise Tax Board"
cgcc.ca.gov,"California Gambling Control Commission"
dgs.ca.gov,"Department of General Services"
govops.ca.gov,"Government Operations Agency"
gov.ca.gov,"Office of the Governor"
tribalgovtaffairs.ca.gov,"Governor's Office of the Tribal Advisor"
chhs.ca.gov,"Health and Human Services Agency"
hbex.coveredca.com,"California Health Benefit Exchange"
hcai.ca.gov,"Department of Health Care Access and Information"
dhcs.ca.gov,"Department of Health Care Services"
hsr.ca.gov,"High-Speed Rail Authority"
chp.ca.gov,"California Highway Patrol"
chrb.ca.gov,"California Horse Racing Board"
bhgs.dca.ca.gov,"Bureau of Household Goods and Services"
hcd.ca.gov,"Department of Housing and Community Development"
calhfa.ca.gov,"Housing Finance Agency"
calsilc.ca.gov,"California State Independent Living Council"
dir.ca.gov,"Department of Industrial Relations"
ibank.ca.gov,"Infrastructure and Economic Development Bank (I-Bank)"
oig.ca.gov,"Office of the Inspector General"
insurance.ca.gov,"Department of Insurance"
cjp.ca.gov,"Commission on Judicial Performance"
oag.ca.gov,"Department of Justice"
labor.ca.gov,"Labor and Workforce Development Agency"
slc.ca.gov,"California State Lands Commission"
latc.ca.gov,"Landscape Architects Technical Committee "
clrc.ca.gov,"California Law Revision Commission"
lao.ca.gov,"Legislative Analyst's Office"
legislature.ca.gov,"California State Legislature"
library.ca.gov,"California State Library"
ltg.ca.gov,"Office of Lieutenant Governor"
lhc.ca.gov,"Little Hoover Commission"
calottery.com,"California Lottery"
dmhc.ca.gov,"Department of Managed Health Care"
mbc.ca.gov,"Medical Board of California "
mhsoac.ca.gov,"Mental Health Services Oversight and Accountability Commission"
calguard.ca.gov,"California Military Department"
dmv.ca.gov,"Department of Motor Vehicles"
nahc.ca.gov,"Native American Heritage Commission"
resources.ca.gov,"California Natural Resources Agency"
naturopathic.ca.gov,"Naturopathic Medicine Committee "
