domain,agency,status,redirect,https,dot_gov
abortion.ca.gov,"State of California",200,"https://abortion.ca.gov/",true,true
ca.gov,"State of California",200,"https://www.ca.gov/",true,true
acupuncture.ca.gov,"California Acupuncture Board",200,"https://acupuncture.ca.gov/",true,true
oal.ca.gov,"Office of Administrative Law",200,"https://oal.ca.gov/",true,true
ww2.arb.ca.gov,"Air Resources Board",200,"http://ww2.arb.ca.gov/",false,true
abcab.ca.gov,"Alcoholic Beverage Control Appeals Board",200,"https://abcab.ca.gov/",true,true
alrb.ca.gov,"Agricultural Labor Relations Board",200,"https://www.alrb.ca.gov/",true,true
abc.ca.gov,"Department of Alcoholic Beverage Control",200,"https://www.abc.ca.gov/",true,true
arts.ca.gov,"California Arts Council",200,"https://arts.ca.gov/",true,true
cab.ca.gov,"California Architects Board",200,"https://cab.ca.gov/",true,true
assembly.ca.gov,"California State Assembly",200,"https://www.assembly.ca.gov/",true,true
bsa.ca.gov,"California State Auditor",200,"https://www.auditor.ca.gov/",true,true
bar.ca.gov,"Bureau of Automotive Repair",200,"https://bar.ca.gov/",true,true
barbercosmo.ca.gov,"Board of Barbering and Cosmetology",200,"https://barbercosmo.ca.gov/",true,true
bhc.ca.gov,"Baldwin Hills Conservancy",200,"https://bhc.ca.gov/",true,true
biodiversity.ca.gov,"California Biodiversity Council",500,"undefined",false,false
calbar.ca.gov,"State Bar of California",200,"https://www.calbar.ca.gov/",true,true
bbs.ca.gov,"Board of Behavioral Sciences",200,"https://bbs.ca.gov/",true,true
brea.ca.gov,"Bureau of Real Estate Appraisers",200,"https://brea.ca.gov/",true,true
bcsh.ca.gov,"California Business, Consumer Services, and Housing Agency",200,"https://bcsh.ca.gov/",true,true
business.ca.gov,"Governor's Office of Business and Economic Development",200,"https://business.ca.gov/",true,true
cppa.ca.gov,"California Privacy Protection Agency",200,"https://cppa.ca.gov/",true,true
ccap.ca.gov,"Cannabis Control Appeals Panel",200,"https://ccap.ca.gov/",true,true
cannabis.ca.gov,"Department of Cannabis Control",200,"https://cannabis.ca.gov/",true,true
cfb.ca.gov,"Cemetery and Funeral Bureau",200,"https://cfb.ca.gov/",true,true
cvfpb.ca.gov,"Central Valley Flood Protection Board",200,"https://cvfpb.ca.gov/",true,true
chiro.ca.gov,"Board of Chiropractic Examiners",200,"https://chiro.ca.gov/",true,true
childsupport.ca.gov,"Department of Child Support Services",200,"https://childsupport.ca.gov/",true,true
calcivilrights.ca.gov,"Civil Rights Department",200,"https://calcivilrights.ca.gov/",true,true
cvmc.ca.gov,"Coachella Valley Mountains Conservancy",200,"https://cvmc.ca.gov/",true,true
coastal.ca.gov,"California Coastal Commission",200,"https://coastal.ca.gov/",true,true
wedrawthelines.ca.gov,"Citizens Redistricting Commission",200,"https://wedrawthelines.ca.gov/",true,true
scc.ca.gov,"State Coastal Conservancy",200,"https://scc.ca.gov/",true,true
crb.ca.gov,"Colorado River Board of California",200,"https://crb.ca.gov/",true,true
cccco.edu,"California Community Colleges",200,"https://www.cccco.edu/",true,true
csd.ca.gov,"Department of Community Services and Development",200,"https://csd.ca.gov/",true,true
conservation.ca.gov,"Department of Conservation",200,"https://www.conservation.ca.gov/",true,true
ccc.ca.gov,"California Conservation Corps",200,"https://ccc.ca.gov/",true,true
cslb.ca.gov,"Contractors State License Board",200,"https://cslb.ca.gov/",true,true
dca.ca.gov,"Department of Consumer Affairs",200,"https://dca.ca.gov/",true,true
sco.ca.gov,"State Controller's Office",200,"https://sco.ca.gov/",true,true
cdcr.ca.gov,"California Department of Corrections and Rehabilitation",200,"https://www.cdcr.ca.gov/",true,true
coolcalifornia.arb.ca.gov,"Cool California",200,"https://coolcalifornia.arb.ca.gov/",true,true
courtreportersboard.ca.gov,"Court Reporters Board of California ",200,"https://courtreportersboard.ca.gov/",true,true
counties.org,"California State Association of Counties",200,"https://www.counties.org/",true,false
innovation.ca.gov,"Office of Data and Innovation",200,"https://innovation.ca.gov/",true,true
courts.ca.gov,"California Courts",200,"https://www.courts.ca.gov/",true,true
hub.innovation.ca.gov,"Office of Data and Innovation",200,"https://hub.innovation.ca.gov/",true,true
deltacouncil.ca.gov,"Delta Stewardship Council",200,"https://deltacouncil.ca.gov/",true,true
dhbc.ca.gov,"Dental Hygiene Board of California",200,"https://dhbc.ca.gov/",true,true
dds.ca.gov,"Department of Developmental Services",403,"http://dds.ca.gov/",false,true
delta.ca.gov,"Delta Protection Commission",200,"https://delta.ca.gov/",true,true
scdd.ca.gov,"State Council on Developmental Disabilities",200,"https://scdd.ca.gov/",true,true
emsa.ca.gov,"Emergency Medical Services Authority",200,"https://emsa.ca.gov/",true,true
earthquakeauthority.com,"California Earthquake Authority",200,"https://www.earthquakeauthority.com/",true,false
edd.ca.gov,"Employment Development Department",200,"https://edd.ca.gov/",true,true
cde.ca.gov,"California Department of Education",200,"https://www.cde.ca.gov/",true,true
etp.ca.gov,"Employment Training Panel",200,"https://etp.ca.gov/",true,true
energysafety.ca.gov,"Office of Energy Infrastructure Safety",200,"https://energysafety.ca.gov/",true,true
energy.ca.gov,"California Energy Commission",200,"https://www.energy.ca.gov/",true,true
